Url,Title,Author,Date
https://vnexpress.net/thoi-su/dung-600-cay-tre-lam-cau-100-m-qua-xom-giua-song-4030834.html,"Dùng 600 cây tre làm cầu 100 m qua xóm giữa sông","Phạm Linh","Chủ nhật, 22/12/2019, 09:26 (GMT+7)"
https://vnexpress.net/thoi-su/ngu-dan-chuyen-hang-xuong-tau-di-chuyen-cuoi-nam-4030641.html,"Ngư dân chuyển hàng xuống tàu đi chuyến cuối năm","Phạm Linh","Chủ nhật, 22/12/2019, 12:40 (GMT+7)"
https://vnexpress.net/thoi-su/cong-truong-khao-co-bai-coc-nha-tran-4030683.html,"Công trường khảo cổ bãi cọc nhà Trần","Giang Chinh","Thứ bảy, 21/12/2019, 09:30 (GMT+7)"
https://vnexpress.net/thoi-su/6-cong-trinh-giao-thong-do-dang-tai-tp-hcm-4029852.html,"6 công trình giao thông dở dang tại TP HCM","Quỳnh Trần","Thứ bảy, 21/12/2019, 09:22 (GMT+7)"
https://vnexpress.net/thoi-su/viet-nam-trung-bay-nhieu-vu-khi-hien-dai-4030568.html,"Việt Nam trưng bày nhiều vũ khí hiện đại","Ngọc Thành","Thứ sáu, 20/12/2019, 20:19 (GMT+7)"
https://vnexpress.net/thoi-su/pho-phuong-ha-noi-duoc-trang-hoang-truoc-giang-sinh-4027758.html,"Phố phường Hà Nội được trang hoàng trước Giáng sinh","Ngọc Thành","Thứ ba, 17/12/2019, 19:18 (GMT+7)"
https://vnexpress.net/thoi-su/phat-hien-bai-coc-nha-tran-gan-nghin-nam-tuoi-4029517.html,"Phát hiện bãi cọc nhà Trần gần nghìn năm tuổi","Giang Chinh","Thứ năm, 19/12/2019, 01:07 (GMT+7)"
https://vnexpress.net/thoi-su/bai-coc-cao-quy-mo-ra-huong-nghien-cuu-moi-4030594.html,"Bãi cọc Cao Quỳ mở ra hướng nghiên cứu mới","Giang Chinh","Thứ sáu, 20/12/2019, 23:14 (GMT+7)"
https://vnexpress.net/thoi-su/tranh-cai-viec-nhiet-dien-than-xa-bui-xa-hang-chuc-km-4029614.html,"Tranh cãi việc nhiệt điện than xả bụi xa hàng chục km","""Ước tính khoảng 20% lượng PM2.5 trong không khí Hà Nội là từ các nhà máy nhiệt điện lớn và các khu công nghiệp quanh Hà Nội"", Viện Hàn lâm Khoa học và Công nghệ Việt Nam và Viện Phân tích Hệ thống Ứng dụng Quốc tế kết luận trong Dự báo chất lượng không khí ở Hà Nội và khu vực phía Bắc, tháng 10/2018.","Thứ bảy, 21/12/2019, 00:00 (GMT+7)"
https://vnexpress.net/thoi-su/dai-lo-thang-long-them-4-lan-xe-4029778.html,"Đại lộ Thăng Long thêm 4 làn xe","Bá Đô","Thứ năm, 19/12/2019, 15:14 (GMT+7)"
https://vnexpress.net/thoi-su/nong-dan-dao-duoc-ba-hu-tien-co-4030592.html,"Nông dân đào được ba hũ tiền cổ","Đức Hùng","Thứ sáu, 20/12/2019, 21:16 (GMT+7)"
https://vnexpress.net/thoi-su/duong-sat-cat-linh-ha-dong-hoan-thanh-khoi-luong-xay-dung-4029967.html,"Đường sắt Cát Linh - Hà Đông hoàn thành khối lượng xây dựng","Đoàn Loan","Thứ sáu, 20/12/2019, 00:00 (GMT+7)"
https://vnexpress.net/thoi-su/viet-nam-khong-mua-sam-vu-khi-tien-cong-chien-luoc-4030815.html,"'Việt Nam không mua sắm vũ khí tiến công chiến lược'","Hoàng Thùy","Chủ nhật, 22/12/2019, 00:00 (GMT+7)"
https://vnexpress.net/thoi-su/canh-sat-xac-minh-nhung-truong-hop-xe-trao-doi-bien-so-4030767.html,"Cảnh sát xác minh những trường hợp xe tráo đổi biển số","Bá Đô","Thứ bảy, 21/12/2019, 11:26 (GMT+7)"
https://vnexpress.net/infographics/cac-tuyen-cao-toc-duoc-bo-sung-vao-quy-hoach-4030328.html,"Các tuyến cao tốc được bổ sung vào quy hoạch","Tiến Thành - Đoàn Loan","Thứ sáu, 20/12/2019, 14:29 (GMT+7)"
https://vnexpress.net/thoi-su/tau-hoa-tong-xe-khach-nam-nguoi-bi-thuong-4030191.html,"Tàu hỏa tông xe khách, năm người bị thương","Ôtô khách do ông Đỗ Đình Hảo (60 tuổi, ở TP HCM) lái, chở bốn người từ xã Lộ 25, huyện Thống Nhất ra quốc lộ 1, sáng 20/12. Đến đường ngang dân sinh ở xã Hưng Thịnh, xe bị tàu khách SPT2 đi từ TP HCM ra Phan Thiết tông vào đuôi.","Thứ sáu, 20/12/2019, 11:39 (GMT+7)"
https://vnexpress.net/giao-duc/tai-sao-du-hoc-khong-thanh-cong-4031000.html,"Tại sao du học không thành công?","Tại hội thảo do chương trình Song bằng Quốc tế Olympia tổ chức ngày 21/12, thầy Nguyễn Chí Hiếu, tiến sĩ tại Đại học Stanford (Mỹ), thủ khoa MBA của Đại học Oxford (Anh) chỉ ra sáu năng lực học sinh còn thiếu, dẫn đến trượt học bổng du học hoặc không thể trụ được khi học tập trong môi trường quốc tế.","Chủ nhật, 22/12/2019, 09:40 (GMT+7)"
https://vnexpress.net/giao-duc/bill-gates-va-steve-jobs-han-che-con-su-dung-cong-nghe-4031087.html,"Bill Gates và Steve Jobs hạn chế con sử dụng công nghệ","Dương Tâm","Chủ nhật, 22/12/2019, 13:42 (GMT+7)"
https://vnexpress.net/giao-duc/quy-trinh-ra-de-thi-hoc-ky-o-ha-noi-4030844.html,"Quy trình ra đề thi học kỳ ở Hà Nội","Sau việc khoảng 4.000 học sinh lớp 9 của quận Thanh Xuân phải thi lại môn Toán học kỳ I do đề thi lần đầu quá khó, 70% học sinh đạt điểm dưới trung bình, vấn đề ra đề thi học kỳ được phụ huynh đặc biệt quan tâm.","Chủ nhật, 22/12/2019, 13:15 (GMT+7)"
https://vnexpress.net/giao-duc/cho-dem-sinh-vien-trong-lang-dai-hoc-tp-hcm-4031022.html,"Chợ đêm sinh viên trong làng đại học TP HCM","Quỳnh Trần","Chủ nhật, 22/12/2019, 11:36 (GMT+7)"
